,district,home_size,home_price
541,طويق,250,1300000
542,طويق,210,1150000
543,طويق,450,1450000
544,العارض,322,2750000
545,لبن,200,1150000
546,البديعة,490,1300000
547,المهدية,200,1200000
548,لبن,450,2500000
549,طويق,300,1200000
550,الملقا,405,4500000
551,طويق,300,1220000
552,عكاظ,332,1300000
553,عكاظ,360,730000
554,طويق,240,1000000
555,نمار,250,1150000
556,السويدي,1160,1700000
557,بدر,247,860000
558,السويدي,550,900000
559,الجنادرية,271,1360000
560,المونسية,240,2000000
561,عكاظ,350,1000000
562,الرمال,500,3000000
563,بدر,300,950000
564,المهدية,375,2100000
565,الرمال,300,1500000
566,الرمال,312,1600000
567,البيضاء,245,900000
568,المونسية,300,2000000
569,طويق,270,950000
570,بدر,1000,1000600
571,المهدية,466,2500000
572,لبن,200,1300000
573,الرمال,300,1350000
574,القيروان,662,6500000
575,النرجس,497,6000000
576,الجنادرية,390,1500000
577,المعيزيلة,255,1400000
578,البيضاء,250,850000
579,النرجس,312,2500000
580,الشفا,300,900000
581,المونسية,411,1950000
582,لبن,400,1300000
583,الدولي,416,1550000
584,الدولي,300,1380000
585,الشرق,317,1150000
586,الياسمين,260,3000000
587,الغربي,875,1700000
588,بدر,230,850000
589,الرمال,345,1450000
590,النرجس,300,2350000
591,عرقة,725,7000000
592,الحمراء,1500,5800000
593,لبن,400,1970000
594,طويق,300,1220000
595,الرمال,300,1350000
596,العارض,270,2300000
597,القادسية,780,3200000
598,النرجس,260,2200000
599,طويق,375,1500000
600,طويق,250,1120000
601,بدر,330,1150000
602,الروابي,560,1650000
603,طيبة,225,920000
604,الرمال,278,1150000
605,الرمال,501,2000000
606,الرمال,270,1300000
607,طويق,300,1250000
608,الحزم,300,700000
609,الملقا,405,5000000
610,الرمال,300,1300000
611,الرمال,300,1270000
612,عكاظ,300,1100000
613,طويق,375,1550000
614,قرطبة,220,2150000
615,طويق,325,1400000
616,الرمال,300,1350000
617,الرفيعة,1800,15000000
618,طويق,250,1100000
619,المونسية,288,2300000
620,لبن,230,1150000
621,الملقا,360,3700000
622,الشرق,405,1550000
623,نمار,450,2000000
624,النرجس,280,2200000
625,طويق,260,1200000
626,المونسية,375,2300000
627,طويق,312,1550000
628,لبن,200,1250000
629,طيبة,220,820000
630,طويق,300,1200000
631,نمار,375,1350000
632,لبن,200,1150000
633,قرطبة,420,3100000
634,العزيزية,270,1050000
635,الرمال,342,1350000
636,طويق,250,1300000
637,ديراب,281,1150000
638,الملقا,405,4500000
639,لبن,200,1300000
640,الرمال,458,2300000
641,طويق,375,1600000
642,اشبيلية,500,2700000
643,العارض,250,2200000
